,Unnamed: 0,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
0,1,2015 Chevrolet Camaro LS,20998,55,8,No Accidents or Damage Reported,0,0,19.0,112.3,42.4,37.4,0.0,3719,Null,Rear Wheel Drive,Automatic,278,4800,190.6,75.5,54.2,17,28,6, Gas,3.6,Black,Black,579.2
1,2,2021 Chevrolet Corvette Stingray 2LT,75998,17,2,No Accidents or Damage Reported,0,0,18.5,107.2,42.8,37.9,0.0,3366,Null,Rear Wheel Drive,Automatic,465,5150,182.3,76.1,48.6,15,27,8, Gas,6.2,Gray,Black,902.9
2,3,2018 Dodge Challenger SXT Plus,27998,31,5,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,3894,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,19,30,6, Gas,3.6,White,Black,558.3
3,4,2014 Dodge Challenger SXT Plus,24998,24,9,No Accidents or Damage Reported,0,0,19.5,116.0,42.0,39.3,0.0,3834,Null,Rear Wheel Drive,Automatic,268,4800,197.7,75.7,57.1,18,27,6, Gas,3.6,Black,Brown,558.3
4,5,2020 Subaru BRZ Limited,28998,28,3,No Accidents or Damage Reported,0,0,13.2,101.2,41.9,37.1,0.0,2798,Null,Rear Wheel Drive,Manual 6 Speed,156,6400,166.7,69.9,52.0,21,29,4, Gas,2.0,Gray,Black,243.8
5,6,2013 Chevrolet Camaro SS,25998,68,10,No Accidents or Damage Reported,0,2,19.0,112.3,42.4,37.4,0.0,3860,Null,Rear Wheel Drive,Automatic,420,4600,190.4,75.5,54.2,16,24,8, Gas,6.2,Red,Black,913.0
6,7,2015 Volkswagen Beetle,20998,62,8,No Accidents or Damage Reported,0,0,14.5,100.0,41.3,39.3,0.0,3225,Null,Front Wheel Drive,Automatic,184,1500,168.4,71.2,58.0,24,32,4, Turbo Gas,1.8,Black,Tan,1226.7
7,8,2017 Chevrolet Corvette Stingray,46998,16,6,No Accidents or Damage Reported,0,6,18.5,106.7,43.0,37.9,0.0,3298,Null,Rear Wheel Drive,Manual 7 Speed,460,4600,176.9,73.9,48.8,16,25,8, Gas,6.2,Black,Red,1000.0
8,9,2020 Ford Mustang Ecoboost Premium,24998,58,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0.0,3642,Null,Null,Automatic,350,3000,188.3,75.4,54.9,20,28,4, Turbo Gas,2.3,Silver,Black,1166.7
9,10,2018 BMW M4,53998,21,5,No Accidents or Damage Reported,0,3,15.9,110.7,42.2,39.8,0.0,3530,Null,Null,Automatic,406,1850,184.5,73.6,54.4,17,25,6, Turbo Gas,3.0,Silver,Black,2194.6
10,11,2021 Dodge Challenger R/T Scat Pack,43998,32,2,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4230,Null,Null,Automatic,475,4100,197.9,75.7,57.7,14,23,8, Gas,6.4,Green,Black,1158.5
13,15,2020 Dodge Challenger R/T Scat Pack Widebody,52998,12,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4308,Null,Null,Automatic,475,4100,197.9,79.2,57.5,14,23,8, Gas,6.4,Blue,Black,1158.5
16,19,2012 Infiniti G37,23998,29,11,No Accidents or Damage Reported,0,2,20.0,112.2,43.9,39.4,0.0,4083,Null,Rear Wheel Drive,Automatic,267,5200,183.3,72.9,55.1,17,25,6, Gas,3.7,Gray,Gray,513.5
17,20,2020 Ford Mustang GT Premium,36998,35,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0.0,3825,Null,Null,Automatic,420,4600,188.3,75.4,54.9,15,24,8, Gas,5.0,Red,Red,913.0
19,23,2020 Toyota 86 Hakone Edition,32998,6,3,No Accidents or Damage Reported,0,0,13.2,101.2,41.9,37.1,0.0,2817,Null,Rear Wheel Drive,Automatic,151,6400,166.7,69.9,50.6,24,32,4, Gas,2.0,Green,Black,235.9
20,25,2019 Toyota 86,22998,96,4,No Accidents or Damage Reported,0,0,13.2,101.2,41.9,37.1,0.0,2776,Null,Rear Wheel Drive,Manual 6 Speed,156,6400,166.7,69.9,50.6,21,28,4, Gas,2.0,Black,Black,243.8
22,28,2019 Volkswagen Beetle Final Edition SEL,34998,27,4,No Accidents or Damage Reported,0,5,14.5,100.1,41.3,39.3,0.0,3239,Null,Front Wheel Drive,Automatic,184,1500,168.8,71.9,58.0,26,33,4, Turbo Gas,2.0,White,Black,1226.7
23,31,2019 Chevrolet Camaro 2SS,34998,57,4,No Accidents or Damage Reported,0,0,19.0,110.7,43.9,38.4,0.0,3956,Null,Null,Automatic,455,4400,188.3,74.7,52.9,16,24,8, Gas,6.2,White,Black,1034.1
24,32,2023 Subaru BRZ Limited,31998,2,0,No Accidents or Damage Reported,0,0,13.2,101.4,41.5,37.0,0.0,2835,Null,Rear Wheel Drive,Manual 6 Speed,184,3700,167.9,69.9,51.6,20,27,4, Gas,2.4,Red,Black,497.3
25,34,2017 Ford Mustang Ecoboost Premium,22998,64,6,No Accidents or Damage Reported,0,0,15.5,107.1,44.5,37.6,0.0,3532,Null,Rear Wheel Drive,Manual 6 Speed,320,2500,188.3,75.4,54.4,21,30,4, Turbo Gas,2.3,Black,Black,1280.0
26,36,2021 Dodge Challenger R/T Scat Pack,41998,15,2,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4230,Null,Null,Automatic,475,4100,197.9,75.7,57.7,14,23,8, Gas,6.4,Gray,Black,1158.5
27,37,2018 Ford Mustang Ecoboost Premium,24998,32,5,No Accidents or Damage Reported,0,0,15.5,107.1,44.5,37.6,0.0,3532,Null,Rear Wheel Drive,Automatic,350,3000,188.3,75.4,54.4,21,31,4, Turbo Gas,2.3,Red,Black,1166.7
28,38,2014 Ford Mustang,18998,60,9,No Accidents or Damage Reported,0,4,16.0,107.1,42.4,38.8,0.0,3630,Null,Rear Wheel Drive,Automatic,280,4250,188.5,73.9,55.8,19,29,6, Gas,3.7,Gray,Black,658.8
29,39,2018 Dodge Challenger R/T,30998,28,5,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4190,Null,Rear Wheel Drive,Manual 6 Speed,410,4300,197.9,75.7,57.5,15,23,8, Gas,5.7,Silver,Black,953.5
30,40,2018 Honda Civic SI,28998,9,5,No Accidents or Damage Reported,0,0,12.4,106.3,42.3,36.5,0.0,2889,Null,Front Wheel Drive,Manual 6 Speed,192,2100,177.3,70.9,54.7,28,38,4, Turbo Gas,1.5,Green,Black,914.3
36,47,2017 Honda Civic LX-P,20998,51,6,No Accidents or Damage Reported,0,2,12.4,106.3,42.3,36.5,0.0,2775,Null,Front Wheel Drive,Automatic,138,4200,176.9,70.8,54.9,30,39,4, Gas,2.0,Black,Tan,328.6
37,48,2017 Volkswagen Beetle Classic,27998,16,6,No Accidents or Damage Reported,0,0,14.5,100.0,41.3,39.3,0.0,3225,Null,Front Wheel Drive,Automatic,184,1500,168.4,71.2,58.0,24,33,4, Turbo Gas,1.8,Gray,Brown,1226.7
38,49,2021 Dodge Challenger SXT,28998,21,2,No Accidents or Damage Reported,0,4,18.5,116.2,42.0,39.3,0.0,4057,Null,All Wheel Drive,Automatic,268,4800,197.9,75.7,58.4,18,27,6, Gas,3.6,Black,Black,558.3
39,50,2020 Dodge Challenger R/T Scat Pack,43998,12,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4230,Null,Rear Wheel Drive,Manual 6 Speed,475,4100,197.9,75.7,57.5,14,23,8, Gas,6.4,Purple,Black,1158.5
40,51,2013 BMW M3,35998,45,10,No Accidents or Damage Reported,0,8,16.6,108.7,41.8,38.0,0.0,4145,Null,Null,Automatic,295,3900,181.7,71.0,54.8,13,20,8, Gas,4.0,Red,Black,756.4
41,52,2020 Ford Mustang Shelby GT350,66998,9,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0.0,3760,Null,Rear Wheel Drive,Manual 6 Speed,429,4750,188.9,75.9,54.2,14,21,8, Gas,5.2,Blue,Black,903.2
42,53,2018 Ford Mustang Ecoboost Premium,22998,85,5,No Accidents or Damage Reported,0,0,15.5,107.1,44.5,37.6,0.0,3532,Null,Rear Wheel Drive,Automatic,350,3000,188.3,75.4,54.4,21,31,4, Turbo Gas,2.3,Gray,Black,1166.7
44,56,2020 Dodge Challenger SXT,27998,33,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4057,Null,All Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,18,27,6, Gas,3.6,Burgundy,Black,558.3
45,57,2019 Ford Mustang Ecoboost Premium,27998,28,4,No Accidents or Damage Reported,0,2,16.0,107.1,44.5,37.6,0.0,3532,Null,Null,Automatic,350,3000,188.3,75.4,54.4,21,31,4, Turbo Gas,2.3,White,Black,1166.7
46,58,2018 BMW M240 XI,34998,26,5,No Accidents or Damage Reported,0,2,13.7,105.9,41.5,40.5,0.0,3944,Null,All Wheel Drive,Automatic,369,1520,175.9,69.8,55.2,21,30,6, Turbo Gas,3.0,White,Tan,2427.6
47,60,2015 BMW M4,35998,74,8,No Accidents or Damage Reported,0,10,15.9,110.7,42.2,40.4,0.0,4055,Null,Rear Wheel Drive,Automatic,406,1850,184.5,73.6,54.6,17,26,6, Turbo Gas,3.0,Silver,Gray,2194.6
48,61,2015 BMW M4,44998,32,8,No Accidents or Damage Reported,0,5,15.9,110.7,42.2,39.8,0.0,3530,Null,Rear Wheel Drive,Automatic,406,1850,184.5,73.6,54.4,17,26,6, Turbo Gas,3.0,Gray,Tan,2194.6
49,62,2014 Ford Mustang Shelby GT500,55998,25,9,No Accidents or Damage Reported,0,0,16.0,107.1,42.4,38.5,0.0,3845,Null,Rear Wheel Drive,Manual 6 Speed,631,4000,189.4,73.9,55.4,15,24,8, Supercharged Gas,5.8,White,Black,1577.5
50,63,2014 Hyundai Genesis,21998,28,9,No Accidents or Damage Reported,0,0,17.2,111.0,44.1,39.2,0.0,3495,Null,Rear Wheel Drive,Automatic,275,2000,182.3,73.4,54.5,17,27,4, Turbo Gas,2.0,Black,Black,1375.0
52,65,2021 Dodge Challenger SXT,24998,59,2,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,3858,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.7,19,30,6, Gas,3.6,Red,Black,558.3
53,66,2021 Dodge Challenger R/T,33998,19,2,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4182,Null,Null,Automatic,410,4300,197.9,75.7,57.7,15,23,8, Gas,5.7,White,Black,953.5
54,67,2018 Ford Mustang Ecoboost,22998,64,5,No Accidents or Damage Reported,0,7,15.5,107.1,44.5,37.6,0.0,3532,Null,Rear Wheel Drive,Automatic,350,3000,188.3,75.4,54.4,21,31,4, Turbo Gas,2.3,Gray,Black,1166.7
55,68,2014 Chevrolet Corvette Stingray,38998,78,9,No Accidents or Damage Reported,0,0,18.5,106.7,43.0,37.9,0.0,3298,Null,Rear Wheel Drive,Automatic,460,4600,176.9,73.9,48.8,17,29,8, Gas,6.2,Burgundy,Brown,1000.0
56,70,2020 Ford Mustang Ecoboost Premium,26998,38,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0.0,3532,Null,Null,Automatic,350,3000,188.3,75.4,54.4,21,30,4, Turbo Gas,2.3,Silver,Black,1166.7
57,71,2015 Chevrolet Camaro LT,19998,63,8,No Accidents or Damage Reported,0,0,19.0,112.3,42.4,37.8,0.0,4015,Null,Rear Wheel Drive,Automatic,278,4800,190.6,75.5,54.7,17,28,6, Gas,3.6,Silver,Black,579.2
58,72,2016 Jaguar F-Type,34998,55,7,No Accidents or Damage Reported,0,4,18.5,103.2,43.0,37.0,0.0,3477,Null,Rear Wheel Drive,Automatic,332,3500,176.0,75.7,51.6,19,28,6, Supercharged Gas,3.0,Black,Black,948.6
59,75,2012 Honda Accord EX-L,17998,86,11,No Accidents or Damage Reported,0,1,18.5,107.9,42.2,37.4,0.0,3543,Null,Front Wheel Drive,Automatic,254,5000,190.9,72.8,56.4,19,29,6, Gas,3.5,Black,Black,508.0
60,76,2019 Volkswagen Beetle Final Edition SEL,35998,18,4,No Accidents or Damage Reported,0,0,14.5,100.1,41.3,39.3,0.0,3239,Null,Front Wheel Drive,Automatic,184,1500,168.8,71.9,58.0,26,33,4, Turbo Gas,2.0,Black,Black,1226.7
61,77,2017 Mercedes-Benz C300,29998,25,6,No Accidents or Damage Reported,0,0,17.4,111.8,42.0,38.8,0.0,3770,Null,All Wheel Drive,Automatic,273,1300,184.5,71.3,55.3,23,29,4, Turbo Gas,2.0,Red,Black,2100.0
62,80,2019 Mercedes-Benz C300,32998,51,4,No Accidents or Damage Reported,0,0,17.4,111.8,42.0,38.8,0.0,3682,Null,All Wheel Drive,Automatic,273,1800,184.5,71.3,55.3,22,31,4, Turbo Gas,2.0,White,Cream,1516.7
63,81,2017 Infiniti Q60 Premium,27998,66,6,No Accidents or Damage Reported,0,3,20.0,112.2,43.1,37.4,0.0,3774,Null,Rear Wheel Drive,Automatic,295,1600,184.4,72.8,54.9,19,28,6, Turbo Gas,3.0,Black,Black,1843.8
64,82,2019 Ford Mustang Ecoboost Premium,25998,37,4,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0.0,3642,Null,Rear Wheel Drive,Manual 6 Speed,350,3000,188.3,75.4,54.9,20,28,4, Turbo Gas,2.3,Red,Black,1166.7
65,83,2017 BMW 440 I xDrive,35998,15,6,No Accidents or Damage Reported,0,10,15.8,110.6,42.2,39.8,0.0,3775,Null,All Wheel Drive,Manual 6 Speed,330,1380,182.6,71.9,54.8,21,31,6, Turbo Gas,3.0,Black,Black,2391.3
66,84,2018 Dodge Challenger T/A 392,42998,17,5,No Accidents or Damage Reported,0,4,18.5,116.2,42.0,39.3,0.0,4232,Null,Rear Wheel Drive,Automatic,475,4100,197.9,75.7,57.5,14,23,8, Gas,6.4,Black,Black,1158.5
68,87,2014 Scion FR-S,19998,78,9,No Accidents or Damage Reported,0,1,13.2,101.2,41.9,37.1,0.0,2758,Null,Rear Wheel Drive,Manual 6 Speed,151,6400,166.7,69.9,50.6,22,30,4, Gas,2.0,Red,Black,235.9
70,89,2016 Ford Mustang Ecoboost Premium,22998,52,7,No Accidents or Damage Reported,0,0,15.5,107.1,44.5,37.6,0.0,3642,Null,Null,Automatic,320,2500,188.3,75.4,54.9,22,31,4, Turbo Gas,2.3,Gray,Black,1280.0
71,90,2020 Dodge Challenger R/T Scat Pack Widebody,50998,7,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4308,Null,Null,Automatic,475,4100,197.9,79.2,57.5,14,23,8, Gas,6.4,Red,Black,1158.5
73,94,2021 Dodge Challenger GT,31998,7,2,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,3906,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.7,19,30,6, Gas,3.6,Purple,Black,558.3
74,95,2018 Chevrolet Camaro SS,40998,18,5,No Accidents or Damage Reported,0,0,19.0,110.7,43.9,38.5,0.0,3685,Null,Rear Wheel Drive,Automatic,455,4400,188.3,74.7,53.1,16,25,8, Gas,6.2,White,Red,1034.1
75,96,2015 Hyundai Genesis,19998,74,8,No Accidents or Damage Reported,0,0,17.2,111.0,44.1,39.2,0.0,3495,Null,Rear Wheel Drive,Automatic,295,5100,182.3,73.4,54.5,16,25,6, Gas,3.8,White,Black,578.4
76,97,2013 BMW 328 I,18998,65,10,No Accidents or Damage Reported,0,16,16.1,108.7,41.8,38.4,0.0,3583,Null,Rear Wheel Drive,Automatic,200,2750,181.9,71.5,54.9,18,28,6, Gas,3.0,Burgundy,Gray,727.3
77,98,2014 Chevrolet Camaro LT,22998,39,9,No Accidents or Damage Reported,0,0,19.0,112.3,42.4,37.4,0.0,3738,Null,Null,Automatic,278,4800,190.6,75.5,54.2,17,28,6, Gas,3.6,Red,Black,579.2
78,99,2014 Ford Mustang,16998,110,9,No Accidents or Damage Reported,0,0,16.0,107.1,42.4,38.5,0.0,3501,Null,Null,Automatic,280,4250,188.5,73.9,55.8,19,29,6, Gas,3.7,Blue,Tan,658.8
79,100,2019 Chevrolet Camaro 2SS,34998,54,4,No Accidents or Damage Reported,0,0,19.0,110.7,43.9,38.4,0.0,3956,Null,Null,Automatic,455,4400,188.3,74.7,52.9,16,24,8, Gas,6.2,Silver,Black,1034.1
