,Unnamed: 0,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
80,101,2018 Subaru BRZ Limited,28998,23,5,No Accidents or Damage Reported,0,0,13.2,101.2,41.9,37.1,0.0,2840,Null,Rear Wheel Drive,Automatic,151,6400,166.7,69.9,50.6,24,33,4, Gas,2.0,Blue,Black,235.9
81,102,2019 Ford Mustang Ecoboost,24998,55,4,No Accidents or Damage Reported,0,2,16.0,107.1,44.5,37.6,0.0,3532,Null,Null,Automatic,350,3000,188.3,75.4,54.4,21,31,4, Turbo Gas,2.3,Red,Black,1166.7
83,104,2021 Dodge Challenger SXT,26998,59,2,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4057,Null,All Wheel Drive,Automatic,268,4800,197.9,75.7,58.4,18,27,6, Gas,3.6,Black,Black,558.3
84,105,2014 Chevrolet Camaro LT,22998,46,9,No Accidents or Damage Reported,0,0,19.0,112.3,42.4,37.4,0.0,3738,Null,Null,Automatic,278,4800,190.6,75.5,54.2,17,28,6, Gas,3.6,Red,Black,579.2
85,106,2014 Chevrolet Camaro LT,20998,70,9,No Accidents or Damage Reported,0,4,19.0,112.3,42.4,37.4,0.0,3738,Null,Null,Automatic,278,4800,190.6,75.5,54.2,17,28,6, Gas,3.6,White,Black,579.2
86,107,2020 Ford Mustang Shelby GT350,59998,28,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0.0,3760,Null,Rear Wheel Drive,Manual 6 Speed,429,4750,188.9,75.9,54.2,14,21,8, Gas,5.2,Gray,Gray,903.2
87,108,2020 Ford Mustang Ecoboost,24998,46,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0.0,3532,Null,Null,Automatic,350,3000,188.3,75.4,54.4,21,30,4, Turbo Gas,2.3,Gray,Black,1166.7
88,109,2021 Dodge Challenger R/T Scat Pack,43998,11,2,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4230,Null,Null,Automatic,475,4100,197.9,75.7,57.7,14,23,8, Gas,6.4,Silver,Black,1158.5
89,112,2019 Chevrolet Camaro 2SS,38998,36,4,Multiple Damage Events,0,0,19.0,110.7,43.9,38.5,0.0,3685,Null,Null,Automatic,455,4400,188.3,74.7,53.1,16,24,8, Gas,6.2,Blue,Black,1034.1
90,114,2021 Dodge Challenger SXT,27998,22,2,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,3858,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.7,19,30,6, Gas,3.6,White,Black,558.3
91,115,2018 Chevrolet Corvette Stingray,48998,48,5,No Accidents or Damage Reported,0,0,18.5,106.7,43.0,37.9,0.0,3298,Null,Rear Wheel Drive,Automatic,460,4600,176.9,73.9,48.8,16,25,8, Gas,6.2,Blue,Black,1000.0
92,117,2019 Dodge Challenger SXT,24998,59,4,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,3894,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,19,30,6, Gas,3.6,Red,Black,558.3
93,118,2017 Nissan 370Z,23998,85,6,No Accidents or Damage Reported,0,4,19.0,100.4,42.9,38.2,0.0,3332,Null,Rear Wheel Drive,Automatic,270,5200,167.5,72.6,51.8,19,26,6, Gas,3.7,Pearl,Black,519.2
94,119,2018 Dodge Challenger SRT 392,43998,38,5,No Accidents or Damage Reported,0,4,18.5,116.2,42.0,39.3,0.0,4279,Null,Rear Wheel Drive,Automatic,475,4100,198.0,75.7,55.9,14,23,8, Gas,6.4,Black,Black,1158.5
95,120,2018 Chevrolet Camaro SS,37998,21,5,No Accidents or Damage Reported,0,0,19.0,110.7,43.9,38.5,0.0,3685,Null,Rear Wheel Drive,Automatic,455,4400,188.3,74.7,53.1,16,25,8, Gas,6.2,Black,Black,1034.1
97,122,2020 Dodge Challenger SXT,26998,43,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,3858,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,19,30,6, Gas,3.6,Gray,Black,558.3
98,123,2020 Dodge Challenger SXT,26998,44,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,3858,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,19,30,6, Gas,3.6,White,Black,558.3
100,125,2013 Chevrolet Camaro ZL1,42998,18,10,No Accidents or Damage Reported,0,2,19.0,112.3,42.4,37.4,0.0,4120,Null,Rear Wheel Drive,Manual 6 Speed,556,4200,190.4,75.5,54.2,14,19,8, Supercharged Gas,6.2,Black,Black,1323.8
101,126,2015 Ford Mustang Ecoboost,22998,34,8,No Accidents or Damage Reported,0,4,15.5,107.1,44.5,37.6,0.0,3532,Null,Null,Automatic,320,2500,188.3,75.4,54.4,22,31,4, Turbo Gas,2.3,White,Black,1280.0
102,127,2017 Chevrolet Camaro LT,27998,43,6,No Accidents or Damage Reported,0,0,19.0,110.7,43.9,38.5,0.0,3354,Null,Rear Wheel Drive,Automatic,284,5300,188.3,74.7,53.1,16,28,6, Gas,3.6,Black,Black,535.8
103,130,2018 Dodge Challenger GT,26998,55,5,No Accidents or Damage Reported,0,1,18.5,116.2,42.0,39.3,0.0,4108,Null,All Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,18,27,6, Gas,3.6,Gray,Black,558.3
104,131,2018 Honda Civic SI,23998,77,5,No Accidents or Damage Reported,0,2,12.4,106.3,42.3,36.5,0.0,2889,Null,Front Wheel Drive,Manual 6 Speed,192,2100,177.3,70.9,54.7,28,38,4, Turbo Gas,1.5,Gray,Black,914.3
105,132,2018 Infiniti Q60 Red Sport 400,36998,41,5,No Accidents or Damage Reported,0,0,20.0,112.2,43.1,37.4,0.0,4024,Null,All Wheel Drive,Automatic,350,1600,184.4,72.8,54.9,19,26,6, Turbo Gas,3.0,Silver,Red,2187.5
108,135,2020 BMW 430 I xDrive,33998,22,3,No Accidents or Damage Reported,0,1,15.8,110.6,42.2,39.8,0.0,3697,Null,All Wheel Drive,Automatic,258,1450,182.7,71.9,54.8,21,31,4, Turbo Gas,2.0,Gray,Black,1779.3
109,136,2017 Dodge Challenger R/T Scat Pack,33998,56,6,No Accidents or Damage Reported,0,3,18.5,116.2,42.0,39.3,0.0,4232,Null,Rear Wheel Drive,Manual 6 Speed,475,4100,197.9,75.7,57.5,14,23,8, Gas,6.4,White,Black,1158.5
110,138,2019 Dodge Challenger SXT,27998,27,4,No Accidents or Damage Reported,0,2,18.5,116.2,42.0,39.3,0.0,3894,Null,Rear Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,19,30,6, Gas,3.6,Silver,Black,558.3
111,141,2013 Hyundai Elantra GS,15998,32,10,No Accidents or Damage Reported,0,0,13.2,106.3,43.6,39.8,0.0,2729,Null,Front Wheel Drive,Automatic,131,4700,178.7,69.9,56.5,27,37,4, Gas,1.8,Blue,Gray,278.7
113,143,2017 Dodge Challenger 392 Hemi Scat Pack Shaker,38998,25,6,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4232,Null,Rear Wheel Drive,Automatic,475,4100,197.9,75.7,57.5,14,23,8, Gas,6.4,Gray,Black,1158.5
115,145,2015 Infiniti Q60 Limited,23998,75,8,No Accidents or Damage Reported,0,0,20.0,112.2,43.8,37.7,0.0,3781,Null,Rear Wheel Drive,Automatic,276,5200,185.1,71.8,54.9,19,27,6, Gas,3.7,White,Black,530.8
116,146,2019 Mercedes-Benz C300,28998,77,4,No Accidents or Damage Reported,0,0,17.4,111.8,42.0,38.8,0.0,3682,Null,All Wheel Drive,Automatic,273,1800,184.5,71.3,55.3,22,31,4, Turbo Gas,2.0,Gray,Black,1516.7
117,147,2017 Ford Mustang Ecoboost,23998,58,6,No Accidents or Damage Reported,0,2,15.5,107.1,44.5,37.6,0.0,3532,Null,Null,Automatic,320,2500,188.3,75.4,54.4,21,30,4, Turbo Gas,2.3,Black,Black,1280.0
119,150,2014 Smart Fortwo Passion,9599,84,9,No Accidents or Damage Reported,0,0,8.7,73.5,41.2,39.7,0.0,1808,Null,Rear Wheel Drive,Automatic,68,4500,106.1,61.4,60.7,34,38,3, Gas,1.0,White,Black,151.1
120,151,2016 Ford Mustang Ecoboost,19998,81,7,No Accidents or Damage Reported,0,4,15.5,107.1,44.5,37.6,0.0,3532,Null,Null,Automatic,320,2500,188.3,75.4,54.4,22,31,4, Turbo Gas,2.3,Black,Black,1280.0
121,152,2014 Dodge Challenger R/T,25998,34,9,No Accidents or Damage Reported,0,2,19.5,116.0,42.0,39.3,0.0,4082,Null,Rear Wheel Drive,Manual 6 Speed,410,4300,197.7,75.7,57.1,15,23,8, Gas,5.7,Black,Black,953.5
122,154,2020 Ford Mustang Ecoboost,23998,74,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0.0,3532,Null,Null,Automatic,350,3000,188.3,75.4,54.4,21,30,4, Turbo Gas,2.3,Silver,Black,1166.7
124,156,2018 Chevrolet Camaro SS,37998,46,5,No Accidents or Damage Reported,0,1,19.0,110.7,43.9,38.5,0.0,3685,Null,Rear Wheel Drive,Automatic,455,4400,188.3,74.7,53.1,16,25,8, Gas,6.2,Blue,Black,1034.1
125,157,2020 Dodge Challenger R/T,37998,7,3,No Accidents or Damage Reported,0,2,18.5,116.2,42.0,39.3,0.0,4182,Null,Null,Automatic,410,4300,197.9,75.7,57.5,15,23,8, Gas,5.7,Black,Black,953.5
126,158,2015 Chevrolet Camaro SS,25998,85,8,No Accidents or Damage Reported,0,5,19.0,112.3,42.4,37.4,0.0,3908,Null,Rear Wheel Drive,Automatic,420,4600,190.6,75.5,54.2,16,24,8, Gas,6.2,Black,Black,913.0
128,160,2014 Infiniti Q60 S,17998,119,9,No Accidents or Damage Reported,0,0,20.0,112.2,43.8,37.7,0.0,3708,Null,Rear Wheel Drive,Manual 6 Speed,270,5200,183.7,71.8,54.9,17,25,6, Gas,3.7,Black,Black,519.2
129,161,2015 Volkswagen Beetle,24998,25,8,No Accidents or Damage Reported,0,0,14.5,100.0,41.3,39.3,0.0,3225,Null,Front Wheel Drive,Automatic,184,1500,168.4,71.2,58.0,24,32,4, Turbo Gas,1.8,Red,Black,1226.7
130,162,2019 Mini Cooper S,32998,3,4,No Accidents or Damage Reported,0,0,11.6,98.2,41.4,39.8,0.0,2985,Null,Front Wheel Drive,Automatic,207,1350,151.9,68.0,55.7,23,32,4, Turbo Gas,2.0,Silver,Brown,1533.3
131,163,2016 Honda Civic Touring,18998,85,7,No Accidents or Damage Reported,0,0,12.4,106.3,42.3,36.5,0.0,2888,Null,Front Wheel Drive,Automatic,162,1700,176.9,70.8,54.9,31,41,4, Turbo Gas,1.5,Black,Black,952.9
133,165,2013 Ford Mustang,16998,73,10,No Accidents or Damage Reported,0,0,16.0,107.1,42.4,38.5,0.0,3501,Null,Null,Automatic,280,4250,188.5,73.9,55.6,19,29,6, Gas,3.7,Silver,Black,658.8
134,166,2020 Ford Mustang Ecoboost Premium,29998,28,3,No Accidents or Damage Reported,0,5,16.0,107.1,44.5,37.6,0.0,3532,Null,Null,Automatic,350,3000,188.3,75.4,54.4,21,30,4, Turbo Gas,2.3,Silver,Black,1166.7
135,167,2020 Ford Mustang Ecoboost,26998,23,3,No Accidents or Damage Reported,0,1,16.0,107.1,44.5,37.6,0.0,3532,Null,Null,Automatic,350,3000,188.3,75.4,54.4,21,30,4, Turbo Gas,2.3,Black,Black,1166.7
137,169,2013 Audi A5 Premium Plus,19998,73,10,No Accidents or Damage Reported,0,4,16.9,108.3,41.3,40.0,0.0,4034,Null,All Wheel Drive,Automatic,258,1500,182.1,73.0,54.4,20,30,4, Turbo Gas,2.0,Gray,Black,1720.0
138,170,2020 Ford Mustang Ecoboost,23998,42,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0.0,3532,Null,Null,Automatic,350,3000,188.3,75.4,54.4,21,30,4, Turbo Gas,2.3,Gray,Black,1166.7
139,171,2022 BMW 430 I xDrive,35998,44,1,No Accidents or Damage Reported,0,0,15.6,112.2,41.8,38.0,0.0,3708,Null,All Wheel Drive,Automatic,294,1550,187.9,72.9,54.8,23,33,4, Turbo Gas,2.0,White,Tan,1896.8
141,173,2021 Dodge Challenger R/T Scat Pack,41998,13,2,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4230,Null,Null,Automatic,475,4100,197.9,75.7,57.7,14,23,8, Gas,6.4,Blue,Black,1158.5
143,175,2018 Chevrolet Camaro LT,25998,39,5,No Accidents or Damage Reported,0,0,19.0,110.7,43.9,38.5,0.0,3339,Null,Rear Wheel Drive,Automatic,284,5300,188.3,74.7,53.1,19,29,6, Gas,3.6,Silver,Black,535.8
144,176,2017 Volkswagen Beetle Classic,21998,88,6,No Accidents or Damage Reported,0,0,14.5,100.0,41.3,39.3,0.0,3225,Null,Front Wheel Drive,Automatic,184,1500,168.4,71.2,58.0,24,33,4, Turbo Gas,1.8,Orange,Gray,1226.7
145,177,2017 Volkswagen Beetle SE,29998,19,6,Multiple Damage Events,0,0,14.5,100.0,41.3,39.3,0.0,3225,Null,Front Wheel Drive,Automatic,184,1500,168.4,71.2,58.0,24,33,4, Turbo Gas,1.8,White,Cream,1226.7
146,179,2020 Ford Mustang Ecoboost Premium,27998,32,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0.0,3642,Null,Null,Automatic,350,3000,188.3,75.4,54.9,20,28,4, Turbo Gas,2.3,Gray,Black,1166.7
147,180,2020 BMW 230 I,32998,23,3,No Accidents or Damage Reported,0,0,13.7,105.9,41.5,40.5,0.0,3680,Null,Rear Wheel Drive,Automatic,258,1450,174.7,69.8,55.6,23,34,4, Turbo Gas,2.0,White,Black,1779.3
149,182,2019 Audi A5 Premium Plus,37998,18,4,No Accidents or Damage Reported,0,0,15.3,108.9,41.3,40.0,0.0,3990,Null,All Wheel Drive,Automatic,273,1600,184.0,72.7,54.4,23,34,4, Turbo Gas,2.0,Blue,Gray,1706.2
150,183,2018 Ford Mustang Ecoboost,23998,37,5,No Accidents or Damage Reported,0,10,15.5,107.1,44.5,37.6,0.0,3532,Null,Rear Wheel Drive,Automatic,350,3000,188.3,75.4,54.4,21,31,4, Turbo Gas,2.3,Black,Black,1166.7
152,185,2019 Dodge Challenger R/T Scat Pack Widebody,47998,16,4,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4232,Null,Null,Automatic,475,4100,197.9,79.2,57.5,14,23,8, Gas,6.4,White,Black,1158.5
153,186,2020 Chevrolet Camaro 2SS,40998,15,3,No Accidents or Damage Reported,0,0,19.0,110.7,43.9,38.4,0.0,3937,Null,Null,Automatic,455,4400,188.3,74.7,52.9,16,24,8, Gas,6.2,Blue,Black,1034.1
154,187,2018 BMW 230 I,27998,51,5,No Accidents or Damage Reported,0,2,13.7,105.9,41.5,40.5,0.0,3680,Null,Rear Wheel Drive,Automatic,258,1450,174.7,69.8,55.6,24,34,4, Turbo Gas,2.0,White,Brown,1779.3
155,189,2020 Ford Mustang Ecoboost Premium,27998,32,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0.0,3532,Null,Null,Automatic,350,3000,188.3,75.4,54.4,21,30,4, Turbo Gas,2.3,White,Black,1166.7
156,190,2017 Ford Mustang,23998,44,6,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0.0,3526,Null,Rear Wheel Drive,Automatic,280,4000,188.3,75.4,54.4,18,27,6, Gas,3.7,Red,Black,700.0
157,191,2020 Dodge Challenger R/T,35998,7,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4182,Null,Null,Automatic,410,4300,197.9,75.7,57.5,15,23,8, Gas,5.7,Gray,Black,953.5
158,192,2015 BMW 428 XI,27998,47,8,No Accidents or Damage Reported,0,0,15.8,110.6,42.2,40.4,0.0,4160,Null,All Wheel Drive,Automatic,255,1250,182.6,71.9,54.5,21,33,4, Turbo Gas,2.0,White,Brown,2040.0
161,196,2018 Audi A5 Premium Plus,34998,32,5,No Accidents or Damage Reported,0,0,15.3,108.9,41.3,40.0,0.0,3990,Null,All Wheel Drive,Automatic,273,1600,184.0,72.7,54.4,24,34,4, Turbo Gas,2.0,Gray,Gray,1706.2
162,197,2014 Mercedes-Benz E350,24998,56,9,No Accidents or Damage Reported,0,1,17.4,108.7,42.0,38.3,0.0,3883,Null,Rear Wheel Drive,Automatic,273,3500,185.0,70.3,55.0,19,28,6, Gas,3.5,Blue,Brown,780.0
163,198,2013 Mini Cooper,15998,42,10,No Accidents or Damage Reported,0,6,10.566,97.125,41.7,38.385,0.0,2403,Null,Front Wheel Drive,Manual 6 Speed,118,4250,146.771,66.259,54.251,29,37,4, Gas,1.6,Blue,Black,277.6
164,199,2021 Dodge Challenger R/T Scat Pack Widebody,56998,5,2,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0.0,4308,Null,Rear Wheel Drive,Manual 6 Speed,475,4100,197.9,79.2,57.7,14,23,8, Gas,6.4,Burgundy,Black,1158.5
